,Planet Name,Host Name,Orbital Period,Discovery Method,Semi-Major Axis (AU),Eccentricity,Radius (R_earth),Mass or Mass * sin(i) (M_earth),Stellar Mass (M_sun)
130,DMPP-1 b,DMPP-1,18.57,Radial Velocity,0.1462,0.083,5.29,24.27,1.21
131,DMPP-1 c,DMPP-1,6.584,Radial Velocity,0.0733,0.057,3.06,9.6,1.21
133,DMPP-1 e,DMPP-1,5.516,Radial Velocity,0.0651,0.07,1.86,4.13,1.21
208,GJ 180 b,GJ 180,17.133,Radial Velocity,0.092,0.07,2.43,6.49,0.43
209,GJ 180 c,GJ 180,24.329,Radial Velocity,0.129,0.09,2.41,6.4,0.43
210,GJ 180 d,GJ 180,106.3,Radial Velocity,0.309,0.14,2.66,7.56,0.43
280,GJ 667 C c,GJ 667 C,28.14,Radial Velocity,0.125,0.02,1.77,3.8,0.33
281,GJ 667 C e,GJ 667 C,62.24,Radial Velocity,0.213,0.02,1.45,2.7,0.33
282,GJ 667 C f,GJ 667 C,39.026,Radial Velocity,0.156,0.03,1.45,2.7,0.33
520,HD 108236 d,HD 108236,14.175685,Transit,0.1074,0.055,2.539,6.98,0.87
521,HD 108236 e,HD 108236,19.590025,Transit,0.1367,0.058,3.083,9.71,0.87
522,HD 108236 f,HD 108236,29.54115,Transit,0.1758,0.051,2.017,4.72,0.87
540,HD 110067 e,HD 110067,30.793091,Transit,0.1785,,1.94,3.9,0.8
541,HD 110067 f,HD 110067,41.05854,Transit,0.2163,,2.601,5.04,0.8
542,HD 110067 g,HD 110067,54.76992,Transit,0.2621,,2.607,8.4,0.8
824,HD 191939 c,HD 191939,28.579743,Transit,0.1752,0.034,3.195,8.0,0.81
825,HD 191939 d,HD 191939,38.353037,Transit,0.2132,0.031,2.995,2.8,0.81
826,HD 191939 e,HD 191939,101.12,Radial Velocity,0.407,0.031,13.0,112.2,0.81
898,HD 215152 b,HD 215152,5.75999,Radial Velocity,0.057638,0.0,1.19,1.819,0.77
899,HD 215152 c,HD 215152,7.28243,Radial Velocity,0.067393,0.0,1.17,1.72,0.77
900,HD 215152 d,HD 215152,10.86499,Radial Velocity,0.08799,0.0,1.48,2.801,0.77
901,HD 215152 e,HD 215152,25.1967,Radial Velocity,0.15417,0.0,1.51,2.877,0.77
954,HD 23472 b,HD 23472,17.667087,Transit,0.1162,0.072,2.0,8.32,0.67
955,HD 23472 c,HD 23472,29.79749,Transit,0.1646,0.063,1.87,3.41,0.67
958,HD 23472 f,HD 23472,12.1621839,Transit,0.0906,0.07,1.137,0.77,0.67
1537,K2-239 b,K2-239,5.24,Transit,0.0441,,1.1,1.37,0.4
1538,K2-239 c,K2-239,7.775,Transit,0.0576,,1.0,0.972,0.4
1539,K2-239 d,K2-239,10.115,Transit,0.0685,,1.1,1.37,0.4
1578,K2-268 c,K2-268,9.327527,Transit,0.0819,,2.69,7.7,0.84
1579,K2-268 d,K2-268,4.528598,Transit,,,1.49,2.83,0.84
1580,K2-268 e,K2-268,6.131243,Transit,,,1.33,2.33,0.84
1603,K2-285 c,K2-285,7.138048,Transit,0.0824,0.0,3.53,15.68,0.83
1604,K2-285 d,K2-285,10.45582,Transit,0.1178,0.0,2.48,6.5,0.83
1605,K2-285 e,K2-285,14.76289,Transit,0.18041,0.0,1.95,10.7,0.83
1691,K2-37 b,K2-37,4.44117,Transit,0.0511,,1.61,3.22,0.9
1692,K2-37 c,K2-37,6.42904,Transit,0.0654,,2.75,8.0,0.9
1693,K2-37 d,K2-37,14.09189,Transit,0.1103,,2.73,7.9,0.9
1715,K2-384 d,K2-384,6.679582,Transit,,,1.392,2.52,0.33
1716,K2-384 e,K2-384,9.715043,Transit,,,1.345,2.37,0.33
1717,K2-384 f,K2-384,13.62749,Transit,,,2.222,5.57,0.33
1796,K2-72 b,K2-72,5.577212,Transit,0.04,0.11,1.08,1.28,0.27
1797,K2-72 c,K2-72,15.189034,Transit,0.078,0.11,1.16,1.65,0.27
1798,K2-72 d,K2-72,7.760178,Transit,0.05,0.11,1.01,1.01,0.27
1851,KIC 10001893 b,KIC 10001893,0.2197,Orbital Brightness Modulation,,,,,0.47
1852,KIC 10001893 c,KIC 10001893,0.32528,Orbital Brightness Modulation,,,,,0.47
1853,KIC 10001893 d,KIC 10001893,0.81161,Orbital Brightness Modulation,,,,,0.47
1967,KOI-351 b,KOI-351,7.008151,Transit,0.074,0.0,1.31,2.27,1.2
1968,KOI-351 c,KOI-351,8.719375,Transit,0.089,0.0,1.19,1.81,1.2
1970,KOI-351 e,KOI-351,91.93913,Transit,0.42,0.0,2.66,7.56,1.2
1971,KOI-351 f,KOI-351,124.9144,Transit,0.48,0.0,2.88,8.65,1.2
1972,KOI-351 g,KOI-351,210.60697,Transit,0.71,0.0,8.1,254.264,1.2
2019,Kepler-102 b,Kepler-102,5.286965,Transit,0.05521,0.1,0.46,1.1,0.8
2020,Kepler-102 c,Kepler-102,7.071392,Transit,0.06702,0.094,0.567,1.7,0.8
2021,Kepler-102 d,Kepler-102,10.311767,Transit,0.08618,0.092,1.154,3.0,0.8
2022,Kepler-102 e,Kepler-102,16.1456994,Transit,0.1162,0.089,2.17,4.7,0.8
2135,Kepler-11 b,Kepler-11,10.3039,Transit,0.091,0.045,1.8,1.9,0.96
2136,Kepler-11 c,Kepler-11,13.0241,Transit,0.107,0.026,2.87,2.9,0.96
2137,Kepler-11 d,Kepler-11,22.6845,Transit,0.155,0.004,3.12,7.3,0.96
2138,Kepler-11 e,Kepler-11,31.9996,Transit,0.195,0.012,4.19,8.0,0.96
2139,Kepler-11 f,Kepler-11,46.6888,Transit,0.25,0.013,2.49,2.0,0.96
2140,Kepler-11 g,Kepler-11,118.3807,Transit,0.466,0.15,3.33,25.0,0.96
2181,Kepler-1130 b,Kepler-1130,5.45298175,Transit,0.059603,0.0,0.8,0.437,0.9
2182,Kepler-1130 c,Kepler-1130,3.26663995,Transit,0.042356,0.0,0.792,0.422,0.94
2183,Kepler-1130 d,Kepler-1130,4.27225018,Transit,0.050655,0.0,0.645,0.202,0.94
2514,Kepler-138 b,Kepler-138,10.3134,Transit,0.0753,0.02,0.64,0.07,0.54
2515,Kepler-138 c,Kepler-138,13.7815,Transit,0.0913,0.017,1.51,2.3,0.54
2516,Kepler-138 d,Kepler-138,23.0923,Transit,0.1288,0.01,1.51,2.1,0.54
2741,Kepler-1542 b,Kepler-1542,3.95116882,Transit,0.0479,0.0,0.76,0.363,0.94
2742,Kepler-1542 c,Kepler-1542,2.89223021,Transit,0.0389,0.0,0.65,0.208,0.94
2743,Kepler-1542 d,Kepler-1542,5.99273738,Transit,0.0632,0.0,0.87,0.59,0.94
2744,Kepler-1542 e,Kepler-1542,5.10115756,Transit,0.0567,0.0,0.76,0.363,0.94
2934,Kepler-169 c,Kepler-169,6.195469,Transit,0.062,0.0,1.21,1.92,0.84
2935,Kepler-169 d,Kepler-169,8.348125,Transit,0.075,0.0,1.25,2.1,0.84
2936,Kepler-169 e,Kepler-169,13.767102,Transit,0.105,0.0,2.2,5.48,0.84
3371,Kepler-208 c,Kepler-208,7.466623,Transit,0.079,0.0,1.39,2.51,1.16
3372,Kepler-208 d,Kepler-208,11.131786,Transit,0.103,0.0,1.2,1.87,1.16
3373,Kepler-208 e,Kepler-208,16.259458,Transit,0.132,0.0,1.48,2.79,1.16
3393,Kepler-217 b,Kepler-217,5.374943,Transit,0.065,0.0,2.23,5.6,1.14
3394,Kepler-217 c,Kepler-217,8.586004,Transit,0.089,0.0,1.85,4.08,1.14
3395,Kepler-217 d,Kepler-217,3.88689525,Transit,0.0505,0.0,1.32,2.3,1.37
3414,Kepler-223 b,Kepler-223,7.38449,Transit,0.0756,0.078,2.99,7.4,1.12
3415,Kepler-223 c,Kepler-223,9.84564,Transit,0.0916,0.15,3.44,5.1,1.12
3416,Kepler-223 d,Kepler-223,14.78869,Transit,0.1201,0.037,5.24,8.0,1.12
3424,Kepler-226 b,Kepler-226,3.940997,Transit,0.047,0.0,1.55,24.0,0.91
3425,Kepler-226 c,Kepler-226,5.349555,Transit,0.058,0.0,2.27,45.2,0.91
3426,Kepler-226 d,Kepler-226,8.109044,Transit,0.076,0.0,1.22,1.98,0.91
3524,Kepler-26 b,Kepler-26,12.28,Transit,0.08551,0.021,2.78,5.12,0.54
3525,Kepler-26 c,Kepler-26,17.2559,Transit,0.10725,0.013,2.72,6.2,0.54
3527,Kepler-26 e,Kepler-26,46.827915,Transit,0.22,0.0,2.41,6.39,0.62
3556,Kepler-271 b,Kepler-271,10.43547805,Transit,0.0881,0.0,1.23,2.04,0.9
3557,Kepler-271 c,Kepler-271,7.41086267,Transit,0.0702,0.0,0.95,0.809,0.9
3558,Kepler-271 d,Kepler-271,5.24972541,Transit,0.0558,0.0,0.66,0.219,0.9
3586,Kepler-282 b,Kepler-282,9.220524,Transit,0.082,0.0,1.01,1.01,0.79
3587,Kepler-282 c,Kepler-282,13.638723,Transit,0.106,0.0,1.2,1.87,0.79
3588,Kepler-282 d,Kepler-282,24.806,Transit,0.154,0.0,2.46,61.0,0.97
3615,Kepler-292 b,Kepler-292,2.580827,Transit,0.035,0.0,1.32,2.3,0.85
3616,Kepler-292 c,Kepler-292,3.715335,Transit,0.045,0.0,1.47,2.76,0.85
3617,Kepler-292 d,Kepler-292,7.055679,Transit,0.068,0.0,2.23,5.6,0.85
3698,Kepler-32 b,Kepler-32,5.90124,Transit,0.05,0.0,2.2,1303.0,0.58
3699,Kepler-32 c,Kepler-32,8.7522,Transit,0.09,0.0,2.0,158.9,0.58
3700,Kepler-32 d,Kepler-32,22.7802,Transit,0.13,0.0,2.7,7.75,0.58
3729,Kepler-33 d,Kepler-33,21.77596,Transit,0.1662,0.0,5.35,3.91,1.29
3730,Kepler-33 e,Kepler-33,31.7844,Transit,0.2138,0.0,4.02,5.57,1.29
3731,Kepler-33 f,Kepler-33,41.02902,Transit,0.2535,0.0,4.46,9.6,1.29
3752,Kepler-338 b,Kepler-338,13.726976,Transit,0.117,0.04,2.44,30.6,1.1
3753,Kepler-338 c,Kepler-338,24.310856,Transit,0.172,0.03,2.34,6.08,1.1
3755,Kepler-338 e,Kepler-338,9.341,Transit Timing Variations,0.089744,0.05,1.56,8.5,1.14
3756,Kepler-339 b,Kepler-339,4.977656,Transit,0.055,0.0,1.42,2.6,0.93
3757,Kepler-339 c,Kepler-339,6.988055,Transit,0.069,0.0,1.15,7.3,0.93
3758,Kepler-339 d,Kepler-339,10.558345,Transit,0.091,0.0,1.17,14.7,0.93
3792,Kepler-352 b,Kepler-352,10.05537,Transit,0.085,0.0,0.86,0.566,0.83
3793,Kepler-352 c,Kepler-352,16.332995,Transit,0.118,0.0,1.24,2.07,0.83
3794,Kepler-352 d,Kepler-352,6.88727999,Transit,0.0657,0.0,0.806,0.449,0.8
3864,Kepler-381 b,Kepler-381,5.629021,Transit,0.066,0.0,0.99,0.937,1.2
3865,Kepler-381 c,Kepler-381,13.391635,Transit,0.117,0.0,1.12,1.46,1.2
3866,Kepler-381 d,Kepler-381,8.25629997,Transit,0.085,0.0,1.067,1.23,1.2
3893,Kepler-394 b,Kepler-394,8.005013,Transit,0.083,0.0,1.6,3.19,1.13
3894,Kepler-394 c,Kepler-394,12.130686,Transit,0.11,0.0,1.66,3.39,1.13
3895,Kepler-394 d,Kepler-394,5.61358023,Transit,0.0646,0.0,1.501,2.86,1.14
3916,Kepler-402 c,Kepler-402,6.124821,Transit,0.068,0.0,1.56,3.05,1.15
3917,Kepler-402 d,Kepler-402,8.921099,Transit,0.087,0.0,1.38,2.48,1.15
3918,Kepler-402 e,Kepler-402,11.242861,Transit,0.102,0.0,1.46,2.73,1.15
3968,Kepler-431 b,Kepler-431,6.803,Transit,0.0719,0.0,0.764,0.37,1.07
3969,Kepler-431 c,Kepler-431,8.703,Transit,0.0847,0.0,0.668,0.229,1.07
3970,Kepler-431 d,Kepler-431,11.922,Transit,0.1045,0.0,1.11,1.41,1.07
3986,Kepler-444 b,Kepler-444,3.6001053,Transit,0.04178,0.16,0.403,0.0374,0.76
3987,Kepler-444 c,Kepler-444,4.5458841,Transit,0.04881,0.31,0.497,0.0793,0.76
3988,Kepler-444 d,Kepler-444,6.189392,Transit,0.06,0.18,0.53,0.2,0.76
3989,Kepler-444 e,Kepler-444,7.743493,Transit,0.0696,0.1,0.546,0.1,0.76
3990,Kepler-444 f,Kepler-444,9.740486,Transit,0.0811,0.29,0.741,0.332,0.76
4214,Kepler-60 b,Kepler-60,7.1334,Transit,0.0719,0.0,1.71,4.19,1.04
4215,Kepler-60 c,Kepler-60,8.9187,Transit,0.0835,0.039,1.9,3.85,1.04
4216,Kepler-60 d,Kepler-60,11.8981,Transit,0.1012,0.002,1.99,4.16,1.04
4248,Kepler-62 c,Kepler-62,12.4417,Transit,0.0929,0.0,0.54,4.0,0.69
4249,Kepler-62 d,Kepler-62,18.16406,Transit,0.12,0.0,1.95,14.0,0.69
4250,Kepler-62 e,Kepler-62,122.3874,Transit,0.427,0.0,1.61,36.0,0.69
4286,Kepler-65 c,Kepler-65,5.859944,Transit,0.068,0.02,2.58,5.4,1.25
4287,Kepler-65 d,Kepler-65,8.13123,Transit,0.084,0.014,1.52,4.14,1.25
4288,Kepler-65 e,Kepler-65,258.8,Radial Velocity,0.853931,0.283,13.9,260.0,1.25
4415,Kepler-758 b,Kepler-758,12.1097104,Transit,0.1019,0.0,2.48,6.71,1.16
4417,Kepler-758 d,Kepler-758,20.4966197,Transit,0.1447,0.0,2.12,5.14,1.16
4418,Kepler-758 e,Kepler-758,8.1934719,Transit,0.0785,0.0,1.53,2.96,1.16
4477,Kepler-80 b,Kepler-80,7.05246,Transit,0.0648,0.0,2.67,6.93,0.73
4478,Kepler-80 c,Kepler-80,9.52355,Transit,0.0792,0.0,2.74,6.74,0.73
4482,Kepler-80 g,Kepler-80,14.64558,Transit,,,1.13,1.51,0.83
4535,Kepler-84 b,Kepler-84,8.726,Transit,0.0827,0.0,2.23,40.0,1.0
4536,Kepler-84 c,Kepler-84,12.883,Transit,0.1072,0.0,2.36,20.2,1.0
4538,Kepler-84 e,Kepler-84,27.434389,Transit,0.181,0.0,2.6,7.27,1.06
4550,Kepler-85 c,Kepler-85,12.51,Transit,0.1007,0.027,1.978,2.15,0.93
4551,Kepler-85 d,Kepler-85,17.91323,Transit,0.13,0.0,1.2,1.87,0.87
4552,Kepler-85 e,Kepler-85,25.216751,Transit,0.163,0.0,1.27,0.6,0.92
4613,Kepler-90 i,KOI-351,14.44912,Transit,0.120138,0.0,1.32,2.3,1.12
5015,TOI-1136 b,TOI-1136,4.1727,Transit,0.05106,0.027,1.9,3.5,1.02
5016,TOI-1136 c,TOI-1136,6.2574,Transit,0.0669,0.11,2.879,6.32,1.02
5017,TOI-1136 d,TOI-1136,12.5199,Transit,0.1062,0.042,4.627,8.35,1.02
5018,TOI-1136 e,TOI-1136,18.801,Transit,0.14,0.0425,2.639,6.07,1.02
5019,TOI-1136 f,TOI-1136,26.321,Transit,0.174,0.001,3.736,9.7,1.02
5020,TOI-1136 g,TOI-1136,39.545,Transit,0.229,0.04,2.53,5.6,1.02
5037,TOI-1246 b,TOI-1246,4.30744,Transit,0.049,,3.01,8.1,0.87
5038,TOI-1246 c,TOI-1246,5.904137,Transit,0.061,0.0,2.451,9.1,0.89
5039,TOI-1246 d,TOI-1246,18.654874,Transit,0.132,0.0,3.431,5.4,0.89
5455,TRAPPIST-1 f,TRAPPIST-1,9.20754,Transit,0.03849,0.01007,1.045,1.039,0.09
5456,TRAPPIST-1 g,TRAPPIST-1,12.352446,Transit,0.04683,0.00208,1.129,1.321,0.09
5457,TRAPPIST-1 h,TRAPPIST-1,18.772866,Transit,0.06189,0.00567,0.755,0.326,0.09
